#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
14,10,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,11,nan,nan,19.798989908644856,139.08423588134403,20.793761581733563,66.94698026208873
14,12,2.879209758824643e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,13,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,14,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,15,3.2303278905815926e-08,nan,19.798989878181136,139.0842357093215,20.793761563153996,66.94698021922774
14,16,nan,nan,19.798989878172993,139.0842357092417,20.793761563148838,66.94698021920794
14,17,5.0904876074751516e-08,nan,19.79898987818114,139.08423570932297,20.793761563154057,66.94698021922929
14,18,nan,nan,19.798989878181136,139.08423570932294,20.793761563153996,66.94698021922929
14,19,6.252816772930595e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,20,3.528663418645584e-08,nan,19.79898987818116,139.08423570953192,20.793761563154565,66.946980219264
15,2,1.2823432553720107e-08,8.614114230373023e-08,21.213199567778585,148.94027104232669,22.27930747494679,71.69971804925505
15,3,nan,6.832576620481402e-07,21.213203430778243,149.0184913873233,22.277422116256126,71.73196780864326
15,4,nan,nan,21.21320343528026,149.0188231274499,22.2783590308853,71.73073488472055
