#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
7,4,1.334307561220414e-08,nan,9.89949493148045,69.54195483123071,10.395913479534562,33.47164387829407
7,5,nan,6.007542469913891e-08,9.89949493989446,69.54211659583319,10.395375764113702,33.47291708058252
7,6,2.8414899435461178e-08,4.6706643255834316e-08,9.899494939824248,69.54211784525647,10.39544900162332,33.47269101788259
7,7,1.2274563343955295e-08,6.174435825706324e-05,9.899494938910795,69.54211784817744,10.395447687852535,33.472690317958
7,8,nan,2.3654889800838778e-08,9.899494939083915,69.54211785122025,10.395447897727898,33.47268995665668
7,9,nan,nan,9.899494939130486,69.54211785437307,10.395447895230786,33.47268993888944
7,10,nan,4.344333121241426e-08,9.899494937620037,69.5421178502016,10.39544789500994,33.472689939361636
7,11,1.5935599216698698e-08,8.491868909216296e-05,9.899494937578831,69.54211790306172,10.395447895070635,33.472689952179614
7,12,1.5686218431526112e-08,nan,9.899494937578831,69.54211784844907,10.395447895070685,33.472689938958034
7,13,3.1724373461379935e-08,4.2713916706982694e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,14,2.2675690292936684e-08,3.994978831615191e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,15,nan,2.816513359903677e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,16,3.268946695895341e-08,nan,9.899494937578831,69.542117848449,10.395447895070683,33.472689938958034
7,17,2.1315816316025615e-08,5.0232356208672354e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,18,2.222747514932958e-08,1.8763728704815901e-06,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,19,nan,3.336782927519904e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,20,4.162365217710391e-09,nan,9.899494937578831,69.54211784844998,10.395447895070683,33.47268993895804
8,2,nan,6.250298813593743e-08,11.313402675312092,79.00113049289523,11.86296454895546,38.053192965869165
8,3,1.8173670805912772e-08,5.814550378107758e-08,11.31370755577176,79.46944572023715,11.880324591914693,38.25904476142123
8,4,nan,nan,11.313708497905692,79.47664085098963,11.882051921257334,38.25697792620571
8,5,2.177246728547965e-08,4.859094504429455e-08,11.313708498652812,79.47670571923256,11.88216373797173,38.256945329484985
8,6,nan,nan,11.313708499147827,79.47670613216668,11.882172736872105,38.2569443100697
