,K,N,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
81,5,7,7.071067810987256,0.09123958466642822,55.11935704558977,0.005735784571058338,49.672941320543295,0.10200863437419712,404.11723297457036,0.005859924916811324
82,5,8,7.071067810772353,0.09123958466365527,55.119396195953584,0.005735788645090851,49.67294133358891,0.10200896886905408,404.11711160297,0.0058599402693331705
83,5,9,7.0710678103328695,0.09123958465798451,55.11939530307925,0.005735788552177307,49.672941328554806,0.10200895847889192,404.11709806084787,0.005859939726295541
84,5,10,7.071067810261458,0.09123958465706307,55.11939549835224,0.005735788572497642,49.672941326215046,0.10200895673102332,404.11709883376665,0.0058599396455013995
85,5,11,7.071067812696092,0.0912395846884777,55.119395548409265,0.005735788577706634,49.67294134971485,0.10200895671211874,404.11709899496674,0.0058599396452522455
86,5,12,7.071067809762393,0.09123958465062353,55.119395492166355,0.005735788571853931,49.67294133175058,0.10200895676449358,404.11709885230204,0.005859939647323558
87,5,13,7.071067809765266,0.0912395846506606,55.11939549244144,0.005735788571882556,49.672941331756775,0.10200895676393353,404.11709885240566,0.005859939647290867
88,5,14,7.071067809765266,0.0912395846506606,55.1193954924414,0.005735788571882552,49.672941331756775,0.1020089567639335,404.11709885240566,0.005859939647290871
89,5,15,7.071067809765266,0.0912395846506606,55.11939549244139,0.005735788571882551,49.672941331756775,0.1020089567639335,404.11709885240566,0.005859939647290871
90,5,16,7.071067809765239,0.09123958465066025,55.119395492437036,0.0057357885718820984,49.67294133177362,0.10200895676382472,404.11709885276076,0.005859939647279025
91,5,17,7.071067809765266,0.0912395846506606,55.11939549244139,0.005735788571882551,49.672941331756775,0.10200895676393353,404.11709885240566,0.005859939647290871
92,5,18,7.071067809765266,0.0912395846506606,55.11939549244139,0.005735788571882551,49.672941331756775,0.10200895676393353,404.11709885240566,0.005859939647290871
93,5,19,7.071067809765266,0.0912395846506606,55.11939549244139,0.005735788571882551,49.672941331756775,0.1020089567639335,404.11709885240566,0.005859939647290871
94,5,20,7.071067809765341,0.09123958465066156,55.119395492454174,0.005735788571883882,49.672941331756775,0.1020089567639335,404.11709885240566,0.005859939647290871
95,6,2,8.483143222778958,0.09121659375372232,78.79494353074496,0.005905967527643831,58.56542901529423,0.09329100230457171,569.2266878851153,0.005321120839611637
96,6,3,8.48527032074598,0.09123946577486318,79.77170440835069,0.005979179307066726,59.57881297122533,0.10092873434765327,579.4838062035615,0.005688629704158141
97,6,4,8.48528134957447,0.09123958436441677,79.41882041924525,0.005952729368945139,59.6070640997561,0.10212134974739141,581.877589280182,0.005747237893594283
98,6,5,8.485281384545194,0.09123958474044606,79.4170723724627,0.005952598346482631,59.60752468049714,0.10202196943687461,581.8729784481682,0.005742686921579128
99,6,6,8.48528138428694,0.09123958473766915,79.41509385876745,0.005952450049687005,59.607529541529814,0.10200807328241136,581.8926908314045,0.005742158451818376
100,6,7,8.485281383928983,0.09123958473382014,79.4151230451235,0.005952452237310516,59.607529599989995,0.10200887548452611,581.8926276095262,0.005742194349647562
101,6,8,8.485281384484413,0.0912395847397925,79.41512110762453,0.005952452092087924,59.60752957689867,0.10200896063847008,581.8927173100456,0.005742198472277553
102,6,9,8.48528138466099,0.09123958474169118,79.41512100135847,0.005952452084122897,59.60752958995024,0.10200895708930117,581.8927155376803,0.005742198306023373
103,6,10,8.485281386270948,0.09123958475900257,79.41512104323228,0.00595245208726149,59.60752957114141,0.10200895676987941,581.8927156889443,0.005742198292813786
104,6,11,8.48528139185747,0.09123958481907268,79.41512116772522,0.005952452096592689,59.60752961045307,0.1020089566957705,581.8927160243147,0.005742198289576076
105,6,12,8.485281385683678,0.09123958475268783,79.41512103622004,0.005952452086735898,59.60752957469115,0.10200895678169251,581.8927156763781,0.005742198293399677
106,6,13,8.485281385683681,0.09123958475268786,79.41512103622387,0.005952452086736185,59.607529574686154,0.10200895678169776,581.8927156763781,0.005742198293399702
107,6,14,8.485281385683681,0.09123958475268786,79.41512103622387,0.005952452086736185,59.607529574686154,0.10200895678169775,581.8927156763781,0.005742198293399702
108,6,15,8.485281385683681,0.09123958475268786,79.41512103622387,0.005952452086736185,59.607529574686154,0.10200895678169775,581.8927156763781,0.005742198293399702
109,6,16,8.485281385683681,0.09123958475268786,79.41512103622222,0.005952452086736061,59.60752957468534,0.10200895678169951,581.8927156763781,0.005742198293399702
110,6,17,8.485281385683681,0.09123958475268786,79.41512103622388,0.0059524520867361855,59.607529574686176,0.10200895678169752,581.8927156763781,0.005742198293399702
111,6,18,8.485281385683681,0.09123958475268786,79.41512103622387,0.005952452086736185,59.607529574686154,0.10200895678169773,581.8927156763781,0.005742198293399702
112,6,19,8.485281385683681,0.09123958475268786,79.41512103622385,0.005952452086736184,59.607529574686154,0.10200895678169776,581.8927156763781,0.005742198293399702
113,6,20,8.485281385683681,0.09123958475268786,79.41512103622387,0.005952452086736185,59.60752957468867,0.10200895678169504,581.8927156763781,0.005742198293399702
114,7,2,9.89873370241104,0.09123256858776713,108.23599481047913,0.005709405000968204,68.85493355981825,0.0953725290417481,780.1089939445475,0.0055384950591508535
115,7,3,9.899491944287528,0.09123955699215121,107.87965039200913,0.005690607976850282,69.52831359343719,0.10141038422181148,792.7302338952547,0.0058320398619474125
116,7,4,9.89949493148049,0.09123958452388355,108.07501707396682,0.005700913490399125,69.54195483123077,0.10207896870957087,792.2077497512923,0.005862344592518836
117,7,5,9.899494939894435,0.09123958460143143,108.06383727712381,0.005700323760632082,69.54211659583316,0.10201437437002413,792.268019268194,0.0058593440750644
118,7,6,9.899494939824342,0.0912395846007854,108.06535994535086,0.00570040408076593,69.54211784525639,0.10200854874167355,792.2573179814059,0.00585905198496262
119,7,7,9.899494938910873,0.09123958459236635,108.06533263087897,0.005700402639938572,69.54211784817733,0.10200893190684347,792.2572848487044,0.005859070618049127
120,7,8,9.899494939083905,0.0912395845939611,108.06533699437568,0.005700402870111261,69.54211785122038,0.10200895810396585,792.2572677455875,0.005859071810285379
121,7,9,9.89949493913045,0.0912395845943901,108.06533694245871,0.005700402867372662,69.54211785437315,0.1020089568346652,792.2572669045311,0.005859071748357288
122,7,10,9.899494937613209,0.0912395845804063,108.06533693780716,0.005700402867127294,69.54211785020169,0.10200895676462785,792.2572669268827,0.0058590717450575916
123,7,11,9.899494947210508,0.09123958466886067,108.06533708300039,0.005700402874786178,69.54211790306182,0.10200895665835251,792.257267533655,0.005859071741016769
124,7,12,9.899494937578865,0.09123958458008977,108.06533693912853,0.005700402867196996,69.54211784844911,0.10200895676830946,792.2572669077772,0.0058590717452045755
125,7,13,9.899494937578865,0.09123958458008977,108.0653369391285,0.005700402867196994,69.54211784844911,0.10200895676830947,792.2572669077772,0.005859071745204577
126,7,14,9.899494937578865,0.09123958458008977,108.0653369391285,0.005700402867196994,69.54211784844911,0.10200895676830947,792.2572669077772,0.005859071745204577
127,7,15,9.899494937578865,0.09123958458008977,108.0653369391285,0.005700402867196994,69.54211784844911,0.10200895676830946,792.2572669077772,0.005859071745204577
128,7,16,9.89949493756963,0.09123958458000465,108.06533693902085,0.0057004028671913155,69.54211784844905,0.10200895676831014,792.2572669077772,0.005859071745204577
129,7,17,9.899494937578877,0.09123958458008989,108.06533693913521,0.005700402867197348,69.54211784844911,0.10200895676830948,792.2572669077772,0.005859071745204577
130,7,18,9.899494937578865,0.09123958458008977,108.06533693912885,0.005700402867197013,69.54211784844911,0.10200895676830947,792.2572669077773,0.005859071745204578
131,7,19,9.899494937578865,0.09123958458008977,108.0653369391285,0.005700402867196994,69.54211784844911,0.10200895676830946,792.2572669077772,0.005859071745204577
132,7,20,9.899494937578865,0.09123958458008977,108.0653369391285,0.005700402867196994,69.54211784845002,0.10200895676830822,792.2572669077773,0.005859071745204578
133,8,2,11.313402675312206,0.09123711832338156,140.7299278897751,0.005803345359676924,79.00113049289503,0.09681807288279803,1023.9227889087775,0.0058647463758219635
134,8,3,11.313707555771805,0.09123957703676472,141.14211240925349,0.005820342804032322,79.46944572023766,0.10165236252638933,1035.0307372248697,0.006115926279029922
135,8,4,11.313708497905715,0.09123958463461883,141.1831578594584,0.005822035414314685,79.47664085098943,0.10205368329790071,1034.9189111086023,0.006132360570986642
136,8,5,11.313708498652915,0.09123958464064463,141.18581509596714,0.005822144992010018,79.47670571923173,0.10201146511602947,1034.9171475114642,0.006130482271454644
137,8,6,11.313708499147802,0.09123958464463566,141.18602894886698,0.005822153810761314,79.47670613216697,0.10200875608138948,1034.9170923575448,0.006130446286454249
138,8,7,11.313708500235366,0.09123958465340634,141.1860479965277,0.005822154596238541,79.47670610631359,0.10200894794608052,1034.917171708924,0.006130457254573444
139,8,8,11.313708498629667,0.09123958464045716,141.18604751531444,0.005822154576394526,79.47670613664276,0.10200895726918571,1034.9171676935366,0.006130457676223963
140,8,9,11.31370850390482,0.09123958468299871,141.1860476034145,0.005822154580027549,79.47670615151137,0.10200895679282307,1034.9171679735555,0.006130457661085997
141,8,10,11.313708502729053,0.09123958467351673,141.18604758627075,0.005822154579320584,79.47670616887567,0.10200895678798112,1034.9171681781252,0.006130457661726602
142,8,11,11.313708515558513,0.09123958477698012,141.1860478312154,0.005822154589421481,79.47670623847884,0.10200895666456851,1034.9171693692745,0.006130457655211401
143,8,12,11.313708502730849,0.0912395846735312,141.18604758645836,0.005822154579328321,79.47670616887281,0.10200895678813056,1034.9171681777439,0.006130457661761514
144,8,13,11.313708502730849,0.0912395846735312,141.18604758645833,0.00582215457932832,79.47670616887343,0.10200895678809369,1034.9171681777825,0.006130457661753043
145,8,14,11.313708502730849,0.0912395846735312,141.18604758645833,0.00582215457932832,79.47670616887281,0.10200895678813057,1034.9171681777439,0.006130457661761528
